site_code,node,site_name,site_type,rkm
TANNEC,JDA,"Tanner Creek, Columbia River below Bonneville Dam",MRR,232
TBRKFK,JDA,"Table Rock Fork, tributary to Molalla River",MRR,163.057.061
TC4,JDA,Trout Creek at 43 Road Bridge,INT,251.017.011
TCM,JDA,Tryon Creek Mouth,INT,163.032.001
TD1,JDA,The Dalles East Fish Ladder,INT,308
TD2,JDA,The Dalles North Fish Ladder,INT,308
TDA,JDA,The Dalles Dam,MRR,308
TDAICE,JDA,TDA - Release into the Ice/Trash Sluiceway,MRR,308
TDAMRT,JDA,TDA - Mortality Recovery,MRR,308
TDASPF,JDA,TDA - Release into the Forebay within 0.5 km upstream of Spillway,MRR,308
TDASPL,JDA,TDA - Release directly into Spill Bay(s),MRR,308
TDASPT,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Spillway,MRR,308
TDATAL,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,308
TDATRB,JDA,TDA - Release into Turbine(s),MRR,308
TDBPAT,JDA,BPA towers in The Dalles Dam forebay,MRR,308
TDLPI,JDA,Lone Pine Island and associated unnamed islands near The Dalles Dam,MRR,307
TDTMI,JDA,Three Mile Island group near The Dalles Dam,MRR,307
TENNAI,JDA,"Tenasillahe Island, lower Columbia River",MRR,060
TEPEEC,JDA,"Tepee Creek, Klickitat River Basin",MRR,290.063.016
TEPEEF,JDA,"East Fork Tepee Creek, Klickitat River Basin",MRR,290.063.016.005
TOUT,JDA,"North Toutle Hatchery, WDFW",MRR,111.032.028.018.001
TOUTLR,JDA,Toutle River,MRR,111.032
TOUTNF,JDA,North Fork Toutle River,MRR,111.032.028
TR1,JDA,Lower Trout Cr - Deschutes,INT,328.140.001
TR2,JDA,Trout/Antelope Cr - Deschutes,INT,328.140.021
TRA,JDA,Trout Creek Auxillary Site,INT,251.017.002
TRC,JDA,"Trout Creek, Wind River",INT,251.017.002
TROU2C,JDA,"Trout Creek, Deschutes River Watershed",MRR,328.140
TROUTC,JDA,"Trout Creek (trib. to Wind River, Wash.)",MRR,251.017
TRYOC,JDA,"Tryon Creek, tributary to Willamette River",MRR,163.032
TSUGCR,JDA,"Tusgawa Creek, tributary to Mason Creek",MRR,140.006.009.005
TTOWER,JDA,"Transmission towers near Troutdale, OR",MRR,190
TURNCR,JDA,"Turner Creek, tributary to Coweeman River",MRR,111.002.015
TWX,JDA,Estuary Towed Array (Exp.),INT,075
VIENTC,JDA,"Viento Creek, Columbia River Gorge (OR)",MRR,258
WAHA,JDA,"Washougal Hatchery, WDFW",MRR,193.032
WALLIS,JDA,"Wallace Island, lower Columbia River near Clatskanie, OR",MRR,080
WARMSR,JDA,"Warm Springs River, Deschutes River Watershed",MRR,328.135
WASHOR,JDA,Washougal River,MRR,193
WASHWF,JDA,West Fork Washougal River,MRR,193.024
WFF,JDA,Willamette Falls Fishway,INT,163.043
WHC,JDA,"Lwr White Creek, Klickitat Bsn",INT,290.063.000
WHEELC,JDA,"Wheeler Canyon, tributary to Klickitat River",MRR,290.018
WHITEC,JDA,"White Creek, Klickitat River Basin",MRR,290.063
WHITSR,JDA,White Salmon River,MRR,271
WHITWF,JDA,"West Fork White Creek, Klickitat River Basin",MRR,290.063.017
WILL,JDA,Willard National Fish Hatchery,MRR,261.009
WILLR,JDA,Willamette River (Archaic - replaced with reach-specific definitions),MRR,163
WILLR1,JDA,Willamette River - mouth to Willamette Falls (km 0-43),MRR,163
WILLR2,JDA,Willamette River - Willamette Falls to Santiam River (km 43-175),MRR,163
WILLR3,JDA,Willamette River - Santiam River to the confluence of the Middle and Coast forks of the Willamette River (km 175-301),MRR,163
WILRMF,JDA,Middle Fork Willamette River,MRR,163.301
WIND2R,JDA,"Wind River, Washington",MRR,251
WLCHIS,JDA,"Welch Island, Lower Columbia",MRR,000.050
WLT,JDA,Walterville Fish Bypass Exit,INT,163.282.039
WOODIS,JDA,"Woody Island, Columbia River Estuary",MRR,047
WRA,JDA,Upper Wind River Auxillary,INT,251.027
WRNFMF,JDA,"North Fork, Middle Fork Willamette River",MRR,163.301.058
WRP,JDA,Woodland Release Ponds,INT,140.014
WRU,JDA,Upper Wind River (WA) rkm 30,INT,251.028
WSH,JDA,Warm Springs Hatchery,INT,328.135.016
WSPH,JDA,Warm Springs National Fish Hatchery,MRR,328.135.016
WSR,JDA,Warm Springs River PIT Array,INT,328.135.001
WSRAHT,JDA,Warm Springs River Rotary Screw Trap Above Hatchery,MRR,328.135.017
WSRMKN,JDA,Warm Springs River McKinley Arthur Screw Trap,MRR,328.135.047
WYCHUC,JDA,"Wychus Creek, Upper Deschutes River Basin",MRR,328.198
WZDF,JDA,"Wizard Falls Hatchery, ODFW",MRR,328.177.053
YOUNGB,JDA,"Youngs Bay, tributary to the Columbia River",MRR,008
JOH,JOH,Johnson Creek,INT,858.066.001
LBC,LBC_D,"Libby Creek, Methow River",INT,843.042.001
LBC,LBC_U,"Libby Creek, Methow River",INT,843.042.001
LLC,LLC_D,Loup Loup Creek Instream Array,INT,858.028.001
LLC,LLC_U,Loup Loup Creek Instream Array,INT,858.028.001
LMB,LMR_D,Lower Methow River Barge,INT,843.001
LMR,LMR_D,Lower Methow River at Pateros,INT,843.008
LMR,LMR_U,Lower Methow River at Pateros,INT,843.008
LNF,LNF_D,Leavenworth NFH Adult Ladder,INT,754.041.005
LEAV,LNF_U,Leavenworth National Fish Hatchery,MRR,754.041.005
LNF,LNF_U,Leavenworth NFH Adult Ladder,INT,754.041.005
LWB,LWE_D,Lower Wenatchee Barge,INT,754.000
LWE,LWE_D,Lower Wenatchee River,INT,754.003
DRY,LWE_U,"Dryden Diversion Dam, Wenatchee River",MRR,754.028
LWE,LWE_U,Lower Wenatchee River,INT,754.003
LWN,LWN_D,Little Wenatchee River,INT,754.090.008.004
LWENAT,LWN_U,Little Wenatchee River,MRR,754.090.008
LWN,LWN_U,Little Wenatchee River,INT,754.090.008.004
MAD,MAD_D,"Mad River, Entiat River Basin",INT,778.017.001
MAD,MAD_U,"Mad River, Entiat River Basin",INT,778.017.001
MCL,MCL_D,Lower Mission Creek Instream,INT,754.017.001
MCL,MCL_U,Lower Mission Creek Instream,INT,754.017.001
MDR,MDR_D,McDonald Road Bridge,INT,509.041
MRC,MRC_D,Methow River at Carlton,INT,843.045
MRW,MRW_D,Methow River at Winthrop,INT,843.085
MRW,MRW_U,Methow River at Winthrop,INT,843.085
NAL,NAL_D,Lower Nason Creek,INT,754.089.001
NAL,NAL_U,Lower Nason Creek,INT,754.089.001
NASONC,NAL_U,Nason Creek (tributary to Wenatchee River),MRR,754.089
NAU,NAU_D,Upper Nason Creek,INT,754.089.019
NAU,NAU_U,Upper Nason Creek,INT,754.089.019
NMC,NMC_D,Ninemile Creek Instream Array,INT,858.134.001
NMC,NMC_U,Ninemile Creek Instream Array,INT,858.134.001
OBF,OBF,Omak Creek below Mission Falls,INT,858.052.011
OKC,OKC_D,Okanagan Channel at VDS-3,INT,858.149
OKC,OKC_U,Okanagan Channel at VDS-3,INT,858.149
OKI,OKI_D,Inkaneep Creek ,INT,858.139.001
OKI,OKI_U,Inkaneep Creek ,INT,858.139.001
OKL,OKL_D,Lower Okanogan Instream Array,INT,858.025
OKL,OKL_U,Lower Okanogan Instream Array,INT,858.025
OKM,OKM,McIntyre Dam,INT,858.166
OKP,OKP,Penticton Channel PIT Array,INT,858.196
OKS,OKS_D,Shingle Creek,INT,858.195.001
OKS,OKS_U,Shingle Creek,INT,858.195.001
OKV,OKV_D,"Vasuex Creek, BC, Canada",INT,858.163.001
OKV,OKV_U,"Vasuex Creek, BC, Canada",INT,858.163.001
OKW,OKW_D,Shuttleworth Creek,INT,858.175.001
OKW,OKW_U,Shuttleworth Creek,INT,858.175.001
OMF,OMF_D,Omak Creek above Mission Falls,INT,858.052.012
OMF,OMF_U,Omak Creek above Mission Falls,INT,858.052.012
OMH,OMH,Omak Creek Haley Creek Road,INT,858.052.020
OMK,OMK_D,Omak Creek Instream Array,INT,858.052.000
OMK,OMK_U,Omak Creek Instream Array,INT,858.052.000
PES,PES_D,Peshastin Creek,INT,754.029.003
PES,PES_U,Peshastin Creek,INT,754.029.003
PEU,PEU_D,Upper Peshastin Creek,INT,754.029.017
PEU,PEU_U,Upper Peshastin Creek,INT,754.029.017
PRA,PRA,Priest Rapids Adult,INT,639
PRDLD1,PRA,PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder,MRR,639
PRH,PRH,Priest Rapids Hatchery Outfall,INT,635
PRO,PRO_D,Prosser Diversion Dam Combined,INT,539.076
PRV,PRV,Walla Walla R at Pierce RV Prk,INT,509.009
RCT,RCT_D,Roaring Creek Temporary Array,INT,778.010.001
RCT,RCT_U,Roaring Creek Temporary Array,INT,778.010.001
RIA,RIA,Rock Island Adult,INT,730
RRF,RRF,Rocky Reach Fishway,INT,763
RRJ,RRF,Rocky Reach Dam Juvenile,INT,763
RSH,RSH_D,Ringold Springs Hatch. Outfall,INT,567
RSH,RSH_U,Ringold Springs Hatch. Outfall,INT,567
SA0,SA0_D,Salmon Creek below OID Div.,INT,858.041.006
SA0,SA0_U,Salmon Creek below OID Div.,INT,858.041.006
SA1,SA1_D,Salmon Creek Instream Array,INT,858.041.003
SA1,SA1_U,Salmon Creek Instream Array,INT,858.041.003
SAD,SAD,Salmon Creek Above OID Div.,INT,858.041.009
SCP,SCP_D,Spring Creek Acclimation Pond,INT,843.081
SCP,SCP_U,Spring Creek Acclimation Pond,INT,843.081
SKA,SKA_D,Skaha Dam Fish Ladder,INT,858.177
SKA,SKA_D,Skaha Dam,MRR,858.177
SKA,SKA_U,Skaha Dam Fish Ladder,INT,858.177
TMF,TMF,Three Mile Falls Dam Combined,INT,465.005
TNK,TNK,Tunk Creek Instream Array,INT,858.073.001
TON,TON,Tonasket Creek,INT,858.133.001
TUF,TUM,Tumwater Dam Adult Fishway,INT,754.044
TUM,TUM,"Tumwater Dam, Wenatchee River",MRR,754.044
TUMFBY,TUM,TUM - Release into the Forebay within 0.5 km upstream of Dam,MRR,754.044
TWISPW,TWISPW,Twisp River Weir (WDFW),MRR,843.066.013
TWR,TWR_D,Lwr Twisp Rvr near MSRF Ponds,INT,843.066.002
TWR,TWR_U,Lwr Twisp Rvr near MSRF Ponds,INT,843.066.002
UWE,UWE,Upper Wenatchee River,INT,754.081
WAN,WAN,Wanacut Creek,INT,858.057.001
WEA,WEA,"Wells Dam, DCPUD Adult Ladders",INT,830
WEH,WEH_D,Wells Dam Hatchery,INT,829.001
WEH,WEH_U,Wells Dam Hatchery,INT,829.001
WFC,WFC,"Wolf Creek, Methow River",INT,843.085.001
WHS,WHS,Wildhorse Spring Creek,INT,858.114.001
WTL,WTL_D,"White River, Wenatchee Basin",INT,754.090.003
WHITER,WTL_U,"White River, Wenatchee River Basin",MRR,754.090
WTL,WTL_U,"White River, Wenatchee Basin",INT,754.090.003
ZSL,ZSL_D,Zosel Dam Combined,INT,858.132
ZSL,ZSL_U,Zosel Dam Combined,INT,858.132
